codigo,materia,creditos,correlativas,categoria,nivel
5,Gestión de programas,0,,Materias Obligatorias,0
5.1,Desarrollo del programa,0,5,Materias Obligatorias,1
5.1.1,Gobernante del programa,0,5.1,Materias Obligatorias,2
5.1.1.1,Asignar responsables para cada programa y cada proceso principal,0,5.1.1,Materias Electivas,3
5.1.2,Desarrollo plan/estrategia del programa,0,5.1,Materias Obligatorias,2
5.1.2.1,Definir los objetivos del programa,0,5.1.2,Materias Electivas,3
5.1.2.2,Definir politicas/formas de trabajar para desarrollar con exito el programa,0,5.1.2.1,Materias Electivas,4
5.1.2.3,Evaluar que recursos se necesitan y cuales estan disponibles,0,5.1.2.2,Materias Electivas,5
5.1.2.4,Definir las etapas del proceso de programa,0,5.1.2.3,Materias Electivas,6
5.1.2.5,Revisar y validar los procedimientos actuales de prestación del servicio,0,5.1.2.4,Materias Electivas,7
5.1.2.6,Definir el lugar y fechas de la prestación del servicio,0,5.1.2.5,Materias Electivas,8
5.1.3,Desarrollo de campaña de captación de beneficiarios del programa,0,5.1,Materias Obligatorias,2
5.1.3.1,Definir el beneficiario objetivo del programa,0,5.1.3,Materias Electivas,3
5.1.3.2,Definir canal de captación objetivo a utilizar,0,5.1.3.1,Materias Electivas,4
5.1.3.3,Definir plan de comunicaciones (anual, mensual, semanal, por dia, etc),0,5.1.3.2,Materias Electivas,5
5.1.3.4,Lanzamiento de campaña de captación de beneficiarios,0,5.1.3.3,Materias Electivas,6
5.1.3.5,Evaluación de efectividad de campaña,0,5.1.3.4,Materias Electivas,7
5.2,Gestión de recursos necesarios para la entrega programa,0,5,Materias Obligatorias,1
5.2.1,Plan de recursos necesarios,0,5.2,Materias Obligatorias,2
5.2.1.1,Definir las habilidades humanas necesarias para desarrollar las actividades,0,5.2.1,Materias Electivas,3
5.2.1.2,Establecer cuales son los proveedores y socios necesarios para desarrollar el servicio, y que necesidades se necesitan suplir,0,5.2.1.1,Materias Electivas,4
5.2.1.3,Identificar los recursos criticos,0,5.2.1.2,Materias Electivas,5
5.2.2,Capacitacion de los rrhh que participan del programa (OPCIONAL SEGÚN APLICA O NO),0,5.2,Materias Obligatorias,2
5.2.2.1,Crear resumen detallado de que actividades son importantes para enseñar. Definir quien va a dar la capacitación. Definir dia y lugar dónde debe ir el recurso.,0,5.2.2,Materias Electivas,3
5.2.2.2,Desarrollar y establecer los materiales necesarios para brindar la capacitacion,0,5.2.2.1,Materias Electivas,4
5.2.2.3,Verificar que la capacitación fue exitosa a traves de pruebas de administración y la aplicación de habilidades para uso practico,0,5.2.2.2,Materias Electivas,5
5.2.2.4,Realizar encuesta de capacitación para analizar el grado de satisfación,0,5.2.2.3,Materias Electivas,6
5.3,Entrega del programa al beneficiario,0,5,Materias Obligatorias,1
5.3.1,Alta del beneficiario al programa,0,5.3,Materias Obligatorias,2
5.3.1.1,Recibir y analizar solicitud del beneficiario,0,5.3.1,Materias Electivas,3
5.3.1.2,Solicitar datos del beneficiario,0,5.3.1.1,Materias Electivas,4
5.3.1.3,Ingresar al sistema y dar de alta al beneficiario en el programa,0,5.3.1.2,Materias Electivas,5
5.3.2,Desarrollo de propuesta de valor,0,5.3,Materias Obligatorias,2
5.3.2.2,Reunirse con el beneficiario para revisar los terminos y acordar el programa,0,5.3.2,Materias Electivas,3
5.3.3,Preparación del programa,0,5.3,Materias Obligatorias,2
5.3.3.1,Analizar los requerimientos acordados,0,5.3.3,Materias Electivas,3
5.3.3.2,Definir solución,0,5.3.3.1,Materias Electivas,4
5.3.3.3,Validar solución,0,5.3.3.2,Materias Electivas,5
5.3.3.4,Realizar las modificaciones según el analisis de requerimientos del cliente,0,5.3.3.3,Materias Electivas,6
5.3.3.5,Alinear los objetivos comerciales del cliente con la solución de prestación de servicio acordada,0,5.3.3.4,Materias Electivas,7
5.3.3.6,Preparación de la información,0,5.3.3.5,Materias Electivas,8
5.3.3.7,Identificar, seleccionar y asignar recursos,0,5.3.3.6,Materias Electivas,9
5.3.3.8,Revisar procesos,0,5.3.3.7,Materias Electivas,10
5.3.3.9,Obtener aprobacion del cliente,0,5.3.3.8,Materias Electivas,11
