codigo,materia,creditos,correlativas,categoria,nivel
1,Recursos Humanos,0,,Materias Obligatorias,0
2,Desarrollo del plan de RRHH,0,1,Materias Obligatorias,1
2.1,Identificación de las necesidades de la organización.,0,2,Materias Obligatorias,2
2.2,Definición de las posiciones y respondibilidad.,0,2.1,Materias Obligatorias,3
2.3,Identificación las habilidades profesionales necesarias.,0,2.2,Materias Obligatorias,4
2.4,Desarrollo de una estrategia de compensación,0,2.3,Materias Obligatorias,5
3,Convocatoria y selección,0,1,Materias Obligatorias,1
3.1,Caracterización la posición y apertura de la vacante.,0,3,Materias Obligatorias,2
3.2,Publicación y difución por múltiples canales.,0,3.1,Materias Obligatorias,3
3.3,Evaluación de las aplicaciones.,0,3.2,Materias Obligatorias,4
3.4,Selección de nuevo empleado.,0,3.3,Materias Obligatorias,5
4,Incorporación y capacitación,0,1,Materias Obligatorias,1
4.1,Introdución a los miembros de la organización,0,4,Materias Obligatorias,2
4.2,Orientación y capacitación inicial.,0,4.1,Materias Obligatorias,3
4.3,Defición de objetivos de la posición.,0,4.2,Materias Obligatorias,4
5,Desarrollo y mejora,0,1,Materias Obligatorias,1
5.1,Evaluación de desempeño en base a objetivos.,0,5,Materias Obligatorias,2
5.2,Desarrollo de propuestas de mejora para el personal.,0,5.1,Materias Obligatorias,3
5.3,Definición de oportunidades de desarrollo.,0,5.2,Materias Obligatorias,4
5.4,Definición de oportunidades de motivación.,0,5.3,Materias Obligatorias,5
6,Compensación y administración,0,1,Materias Obligatorias,1
6.1,Desarrollo de la estructura de salarios.,0,6,Materias Obligatorias,2
6.2,Desarrollo de la estructura de beneficios.,0,6.1,Materias Obligatorias,3
6.3,Mantenimiento de la información de los empleados.,0,6.2,Materias Obligatorias,4
6.4,Mantenimiento de la nómina de salarios y beneficios.,0,6.3,Materias Obligatorias,5
6.5,Registro de servicios realizados ,0,6.4,Materias Obligatorias,6
