codigo,materia,creditos,correlativas,categoria,nivel
3,Captación,0,,Materias Obligatorias,1
3.1,Objetivo de campaña,0,3,Materias Obligatorias,2
3.1.1,Definir donante objetivo,0,3.1,Materias Electivas,3
3.1.2,Definir Monto objetivo,0,3.1.1,Materias Electivas,4
3.2,Plan de Comunicación,0,3.1,Materias Obligatorias,3
3.2.1,Definir Canales,0,3.2,Materias Electivas,4
3.2.2,Preparar información necesaria,0,3.2.1,Materias Electivas,5
3.2.2.1,Armar flyers,0,3.2.2,Materias Electivas,6
3.2.1.2,Reunir información para aplicar a concursos,0,3.2.2.1,Materias Electivas,7
3.2.1.3,Campañas de aumento de cuota,0,3.2.2.2,Materias Electivas,8
3.3,Contacto a donantes,0,3.2,Materias Obligatorias,4
3.3.1,Ejecutar contacto,0,3.3,Materias Electivas,5
3.4,Analisis de resultados,0,3.3,Materias Obligatorias,5
3.4.1,Establecer parámetros de control de campaña,0,3.4,Materias Electivas,6
3.4.2,Analizar resultados,0,3.4.1,Materias Electivas,7
3.4.3,Generar hipótesis de resultados,0,3.4.2,Materias Electivas,8
3.5,Comunicación de resultados,0,3.4,Materias Obligatorias,6
3.5.1,Comunicación interna a la gerencia,0,3.5,Materias Electivas,7
3.5.2,Coordinar comunicación externa,0,3.5.1,Materias Electivas,8
4,Recepción y alta,0,,Materias Obligatorias,0
4.1,Recepción del donante,0,4,Materias Obligatorias,1
4.1.1,Recibir donante,0,4.1,Materias Electivas,2
4.1.2,Solicitar información de contacto,0,4.1.1,Materias Electivas,3
4.1.3,Solicitar Información de cobranza,0,4.1.2,Materias Electivass,4
4.2,Alta del donante,0,4.1,Materias Obligatorias,1
4.2.1,Dar de alta al donante en el sistema,0,4.2,Materias Electivas,2
