codigo,materia,creditos,correlativas,categoria,nivel
1,Estrategia de fondeo,0,,Materias Obligatorias,0
1.1,Estrategia,0,1,Materias Obligatorias,1
1.1.1,Generar propuesta de valor,0,1.1,Materias Obligatorias,2
1.1.2,Identificar posibles canales,0,1.1.1,Materias Obligatorias,3
1.1.3,Identificar posibles donantes,0,1.1.2,Materias Obligatorias,4
1.1.3.1,Categoría donante,0,1.1.3,Materias Obligatorias,5
1.2,Tablero de indicadores,0,1,Materias Obligatorias,1
1.2.1,Establecer métricas por canal,0,1.2,Materias Obligatorias,2
1.2.2,Establecer objetivos por métricas,0,1.2.1,Materias Obligatorias,3
1.2.3,Establecer accionables por métrica,0,1.2.2,Materias Obligatorias,4
1.3,Seguimiento,0,1,Materias Obligatorias,1
1.3.1,Ejecutar accionables,0,1.3,Materias Obligatorias,2
1.3.2,Analizar tendencia,0,1.3.1,Materias Obligatorias,3
1.3.3,Ajustar plan de fondeo,0,1.3.2,Materias Obligatorias,4
