codigo,materia,creditos,correlativas,categoria,nivel
1,Estrategía de fondeo,0,,Materias Obligatorias,0
2,Gestión del Donante,0,1,Materias Obligatorias,1
5,Gestión de Eventos,0,1,Materias Obligatorias,1
3,Captación,0,2,Materias Obligatorias,2
4,Recepción y Alta,0,2,Materias Obligatorias,2
6,Fidelización,0,2,Materias Obligatorias,2
1.1,Estrategia,0,1,Materias Obligatorias,3
1.2,Tablero de indicadores,0,1.1,Materias Obligatorias,4
1.3,Seguimiento,0,1.2,Materias Obligatorias,5
3.1,Objetivo de campaña,0,3,Materias Obligatorias,3
3.2,Plan de Comunicación,0,3.1,Materias Obligatorias,4
3.3,Contacto a donantes,0,3.2,Materias Obligatorias,5
3.4,Analisis de resultados,0,3.3,Materias Obligatorias,6
3.5,Comunicación de resultados,0,3.4,Materias Obligatorias,7
4.1,Recepción,0,4,Materias Obligatorias,3
4.2,Alta,0,4.1,Materias Obligatorias,4
6.1,Estrategia de comunicación,0,6,Materias Obligatorias,3
6.2,Plan de acción,0,6.1,Materias Obligatorias,4
6.3,Planear y administrar atención de consultas,0,6.2,Materias Obligatorias,5
6.4,Evaluación,0,6.3,Materias Obligatorias,6
5.1,Desarrollo del evento,0,5,Materias Obligatorias,3
5.2,Gestión de recursos necesarios,0,5.1,Materias Obligatorias,4
5.3,Entrega del evento,0,5.2,Materias Obligatorias,5
5.4,Finalizacion del evento,0,5.3,Materias Obligatorias,6
1.1.1,Propuesta de valor,0,1.1,Materias Electivas,4
1.1.2,Canales posibles,0,1.1.1,Materias Electivas,5
1.1.3,Donantes posibles,0,1.1.2,Materias Electivas,6
1.2.1,Establecer métricas por canal,0,1.2,Materias Electivas,5
1.2.2,Establecer objetivos por métricas,0,1.2.1,Materias Electivas,6
1.2.3,Establecer accionables por métrica,0,1.2.2,Materias Electivas,7
1.3.1,Ejectuar accionables,0,1.3,Materias Electivas,6
1.3.2,Analizar tendencia,0,1.3.1,Materias Electivas,7
1.3.3,Ajustar plan de fondeo,0,1.3.2,Materias Electivas,8
3.1.1,Defnir donante objetivo,0,3.1,Materias Electivas,4
3.1.2,Definir Monto objetivo,0,3.1.1,Materias Electivas,5
3.2.1,Definir Canales,0,3.2,Materias Electivas,5
3.2.2,Preparar información necesaria,0,3.2.1,Materias Electivas,6
3.3.1,Ejecutar contacto,0,3.3,Materias Electivas,6
3.4.1,Establecer parámetros de control de campaña,0,3.4,Materias Electivas,7
3.4.2,Analizar resultados,0,3.4.1,Materias Electivas,8
3.4.3,Generar hipótesis de resultados,0,3.4.2,Materias Electivas,9
3.5.1,Comunicación interna a la gerencia,0,3.5,Materias Electivas,8
3.5.2,Coordinar comunicación externa,0,3.5.1,Materias Electivas,9
4.1.1,Recibir donante,0,4.1,Materias Electivas,4
4.1.2,Solicitar información de contacto,0,4.1.1,Materias Electivas,5
4.1.3,Solicitar Información de cobranza,0,4.1.2,Materias Electivas,6
4.2.1,Dar de alta al donante en el sistema,0,4.2,Materias Electivas,5
6.1.1,Establecer objetivo y destinatario,0,6.1,Materias Electivas,4
6.1.2,Establecer canal,0,6.1.1,Materias Electivas,4
6.1.3,Detallar habilidades y políticas,0,6.1.2,Materias Electivas,5
6.2.1,Asignar responsable,0,6.2,Materias Electivas,5
6.2.2,Crear comunicación,0,6.2.1,Materias Electivas,6
6.2.3,Ejecutar proceso de fidelización,0,6.2.2,Materias Electivas,7
6.3.1,Definir responsable,0,6.3,Materias Electivas,6
6.3.2,Recibir consulta,0,6.3.1,Materias Electivas,7
6.3.3,Analizar y encontrar solución,0,6.3.2,Materias Electivas,8
6.3.4,Responder consulta,0,6.3.4,Materias Electivas,9
6.3.5,Identificar oportunidad de replicar la solución,0,6.3.4,Materias Electivas,10
6.4.1,Estado,0,6.4,Materias Electivas,7
6.4.2,Encuesta,0,6.4.1,Materias Electivas,8
6.4.3,Análisis de resultados,0,6.4.2,Materias Electivas,9
6.4.4,Comunicación,0,6.4.3,Materias Electivas,10
5.1.1,Establecer gobernante del evento,0,5.1,Materias Electivas,4
5.1.2,Desarrollar plan/estrategia del programa,0,5.1.1,Materias Electivas,5
5.1.3,Desarrollar campaña de promocion del evento,0,5.1.2,Materias Electivas,6
5.2.1,Crear el plan de recursos necesarios,0,5.2,Materias Electivas,5
5.2.2,Capacitaciones de los rrhh (opcional),0,5.2.1,Materias Electivas,6
5.3.1,Planificación del evento,0,5.3,Materias Electivas,6
5.3.3,Ejecución,0,5.3.1,Materias Electivas,7
5.4.1,Revisar todo el proceso de prestación del servicio para evaluar el exito del proyecto,0,5.4,Materias Electivas,7
