codigo,materia,creditos,correlativas,categoria,nivel
35.,Gestión de eventos,0,,Materias Obligatorias,0
35.1,Desarrollo del evento,0,35.,Materias Obligatorias,1
35.1.1,Definición de gobernante del evento,0,35.1,Materias Obligatorias,2
35.1.1.1,Asignar responsables para cada evento y cada proceso principal,0,35.1.1,Materias Electivas,3
35.1.2,Desarrollo de plan/estrategia del programa,0,35.1,Materias Obligatorias,2
35.1.2.1,Definir los objetivos del evento,0,35.1.2,Materias Electivas,3
35.1.2.2,Definir politicas/formas de trabajar,0,35.1.2.1,Materias Electivas,4
35.1.2.3,Evaluar necesidad y disponibilidad de los recursos,0,35.1.2.2,Materias Electivas,5
35.1.2.4,Definir las etapas del proceso de evento,0,35.1.2.3,Materias Electivas,6
35.1.2.5,Revisar y validar los procedimientos actuales de prestación del servicio,0,35.1.2.4,Materias Electivas,7
35.1.2.6,Definir el lugar y fechas de la prestación del servicio,0,35.1.2.5,Materias Electivas,8
35.1.3,Desarrollo de campaña de promocion del evento,0,35.1,Materias Obligatorias,2
35.1.3.1,Definir el donante objetivo del evento,0,35.1.3,Materias Electivas,3
35.1.3.2,Definir canal de captación objetivo a utilizar,0,35.1.3.1,Materias Electivas,4
35.1.3.3,Definir plan de comunicación,0,35.1.3.2,Materias Electivas,5
35.1.3.4,Lanzamiento de campaña de promoción del evento,0,35.1.3.3,Materias Electivas,6
35.1.3.5,Evaluación de efectividad de campaña,0,35.1.3.4,Materias Electivas,7
35.2,Gestión de recursos necesarios,0,35.,Materias Obligatorias,1
35.2.1,Plan de recursos necesarios,0,35.2,Materias Obligatorias,2
35.2.1.1,Definir las habilidades humanas necesarias,0,35.2.1,Materias Electivas,3
35.2.1.2,Establecer proveedores y socios necesarios,0,35.2.1.1,Materias Electivas,4
35.2.1.3,Identificar los recursos criticos,0,35.2.1.2,Materias Electivas,5
35.2.2,Capacitaciones de los rrhh(opcional),0,35.2,Materias Obligatorias,2
35.2.2.1,Crear resumen detallado de actividades importantes para enseñar. Definir Coordinador lugar y día,0,35.2.2,Materias Electivas,3
35.2.2.2,Desarrollar y establecer los materiales necesarios para brindar la capacitación,0,35.2.2.1,Materias Electivas,4
35.2.2.3,Verificar que la capacitación fue exitosa,0,35.2.2.2,Materias Electivas,5
35.2.2.4,Realizar encuesta de capacitación para analizar el grado de satisfación,0,35.2.2.3,Materias Electivas,6
35.3,Entrega del evento,0,35.,Materias Obligatorias,1
35.3.1,Planificación del evento,0,35.3,Materias Obligatorias,2
35.3.1.1,Organizar los aspectos técnicos del evento,0,35.3.1,Materias Electivas,3
5.3.1.2,Revisar los términos y preparar el servicio con partes involucradas,0,35.3.1.1,Materias Electivas,4
35.3.3,Ejecución,0,35.3,Materias Obligatorias,2
35.3.3.1,Venta de las entradas y espacios publicitarios,0,35.3.3,Materias Electivas,3
35.3.3.2,Desarrollo del evento,0,35.3.3.1,Materias Electivas,4
35.4,Finalizacion del evento,0,35.,Materias Obligatorias,1
35.4.1,Revisión delproceso para evaluar el exito del proyecto,0,35.4,Materias Obligatorias,2
35.4.1.1,Asegurarse de que se reciban todos los pagos y se completen todas las actividades,0,35.4.1,Materias Electivas,3
35.4.1.2,Confirmar que la organización cumplio con todos los plazos,0,35.4.1.1,Materias Electivas,4
35.4.1.3,Liberar a los recursos,0,35.4.1.2,Materias Electivas,5
35.4.1.4,Garantizar y asegurarse de que todos los aspectos del proyecto esten finalizados,0,35.4.1.3,Materias Electivas,6
35.4.1.6,Actualizar todos los sistemas necesarios para reflejar la prestacion del servicio,0,35.4.1.4,Materias Electivas,7
35.4.1.5,Encuesta de satisfacion del protagonista,0,35.4.1.6,Materias Electivas,8
