codigo,materia,creditos,correlativas,categoria,nivel
21,Gestión del donante,0,,Materias Obligatorias,0
23,Captación,0,21,Materias Obligatoriass,1
23.1,Objetivo de campaña,0,23,Materias Obligatorias,2
23.1.1,Definir donante objetivo,0,23.1,Materias Electivas,3
23.1.2,Definir Monto objetivo,0,23.1.1,Materias Electivas,4
23.2,Plan de Comunicación,0,23.1,Materias Obligatorias,3
23.2.1,Definir Canales,0,23.2,Materias Electivas,4
23.2.2,Preparar información necesaria,0,23.2.1,Materias Electivas,5
23.2.2.1,Armar flyers,0,23.2.2,Materias Electivas,6
23.2.1.2,Reunir información para aplicar a concursos,0,23.2.2.1,Materias Electivas,7
23.2.1.3,Campañas de aumento de cuota,0,23.2.1.2,Materias Electivas,8
23.3,Contacto a donantes,0,23.2,Materias Obligatorias,4
23.3.1,Ejecutar contacto,0,23.3,Materias Electivas,5
23.4,Analisis de resultados,0,23.3,Materias Obligatorias,5
23.4.1,Establecer parámetros de control de campaña,0,23.4,Materias Electivas,6
23.4.2,Analizar resultados,0,23.4.1,Materias Electivas,7
23.4.3,Generar hipótesis de resultados,0,23.4.2,Materias Electivas,8
23.5,Comunicación de resultados,0,23.4,Materias Obligatorias,6
23.5.1,Comunicación interna a la gerencia,0,23.5,Materias Electivas,7
23.5.2,Coordinar comunicación externa,0,23.5.1,Materias Electivas,8
24,Recepción y alta,0,21,Materias Obligatoriass,1
24.1,Recepción del donante,0,24,Materias Obligatorias,2
24.1.1,Recibir donante,0,24.1,Materias Electivas,3
24.1.2,Solicitar información de contacto,0,24.1.1,Materias Electivas,4
24.1.3,Solicitar Información de cobranza,0,24.1.2,Materias Electivas,5
24.2,Alta del donante,0,24.1,Materias Obligatorias,3
24.2.1,Dar de alta al donante en el sistema,0,24.2,Materias Electivas,4
26,Fidelización del donante,0,21,Materias Obligatoriass,1
26.1,Estrategia de comunicación para la fidelización,0,26,Materias Obligatorias,2
26.1.1,Establecer objetivo y destinatario,0,26.1,Materias Electivas,3
26.1.2,Establecer canal,0,26.1.1,Materias Electivas,4
26.1.3,Detallar habilidades y políticas,0,26.1.2,Materias Electivas,5
26.2,Plan de acción,0,26.1,Materias Obligatorias,3
26.2.1,Asignar responsable,0,26.2,Materias Electivas,4
26.2.2,Crear comunicación,0,26.2.1,Materias Electivas,5
26.2.2.1,Definir las etapas del proceso de fidelización,0,26.2.2,Materias Electivas,6
26.2.2.2,Definir cronograma de comunicación,0,26.2.2.1,Materias Electivas,7
26.2.3,Ejecutar proceso de fidelización,0,26.2.2,Materias Electivas,6
26.2.3.1,Enviar Comunicación,0,26.2.3,Materias Electivas,7
26.2.3.2,Gestionar y controlar el cumplimiento de la fidelización,0,26.2.3.1,Materias Electivas,8
26.3,Atención de consultas,0,26.2,Materias Obligatorias,4
26.3.1.,Definir responsable,0,26.3,Materias Electivas,5
26.3.2,Recibir consulta,0,26.3.1.,Materias Electivas,6
26.3.3,Analizar y encontrar solución,0,26.3.2,Materias Electivas,7
26.3.4,Responder consulta,0,26.3.3,Materias Electivas,8
26.3.5,Identificar oportunidad de replicar la solución,0,26.3.4,Materias Electivas,9
26.4,Evaluación,0,26.3,Materias Obligatorias,5
26.4.1,Evaluar estado,0,26.4,Materias Electivas,6
26.4.1.1,Evaluación de cumplimiento de objetivos propuestos por agente,0,26.4.1,Materias Electivas,7
26.4.2,Evaluar satisfacción del Donante,0,26.4.1,Materias Electivas,7
26.4.2.1,Crear y enviar retroalimentación para evaluar satisfacción de los donantes,0,26.4.2,Materias Electivas,8
26.4.3,Analizar resultados,0,26.4.2,Materias Electivas,8
26.4.3.1,Analizar la información obtenida en los puntos anteriores e identificar puntos de mejora,0,26.4.3,Materias Electivas,9
26.4.4,Comunicar resultados,0,26.4.3,Materias Electivas,9
26.4.4.1,Comunicar resultados a la gestión,0,26.4.4,Materias Electivas,10
