codigo,materia,creditos,correlativas,categoria,nivel
51,Recursos Humanos,0,,Materias Obligatorias,0
52,Desarrollo del plan de RRHH,0,51,Materias Obligatorias,1
52.1,Identificación de las necesidades de la organización.,0,52,Materias Obligatorias,2
52.2,Definición de las posiciones y respondibilidad.,0,52.1,Materias Obligatorias,3
52.3,Identificación las habilidades profesionales necesarias.,0,52.2,Materias Obligatorias,4
52.4,Desarrollo de una estrategia de compensación,0,52.3,Materias Obligatorias,5
53,Convocatoria y selección,0,51,Materias Obligatorias,1
53.1,Caracterización la posición y apertura de la vacante.,0,53,Materias Obligatorias,2
53.2,Publicación y difución por múltiples canales.,0,53.1,Materias Obligatorias,3
53.3,Evaluación de las aplicaciones.,0,53.2,Materias Obligatorias,4
53.4,Selección de nuevo empleado.,0,53.3,Materias Obligatorias,5
54,Incorporación y capacitación,0,51,Materias Obligatorias,1
54.1,Introdución a los miembros de la organización,0,54,Materias Obligatorias,2
54.2,Orientación y capacitación inicial.,0,54.1,Materias Obligatorias,3
54.3,Defición de objetivos de la posición.,0,54.2,Materias Obligatorias,4
55,Desarrollo y mejora,0,51,Materias Obligatorias,1
55.1,Evaluación de desempeño en base a objetivos.,0,55,Materias Obligatorias,2
55.2,Desarrollo de propuestas de mejora para el personal.,0,55.1,Materias Obligatorias,3
55.3,Definición de oportunidades de desarrollo.,0,55.2,Materias Obligatorias,4
55.4,Definición de oportunidades de motivación.,0,55.3,Materias Obligatorias,5
56,Compensación y administración,0,51,Materias Obligatorias,1
56.1,Desarrollo de la estructura de salarios.,0,56,Materias Obligatorias,2
56.2,Desarrollo de la estructura de beneficios.,0,56.1,Materias Obligatorias,3
56.3,Mantenimiento de la información de los empleados.,0,56.2,Materias Obligatorias,4
56.4,Mantenimiento de la nómina de salarios y beneficios.,0,56.3,Materias Obligatorias,5
56.5,Registro de servicios realizados ,0,56.4,Materias Obligatorias,6
